state,division,ballotPosition,surname,ballotGivenName,gender,fullName,fullName,partyBallotName,house,incumbent
NSW,Eden-Monaro,5,GARNON,Darren Scott,M,Darren Scott Garnon,Darren Scott Garnon,United Australia Party,House,0
NSW,Eden-Monaro,6,NOCKLES,Jerry,M,Jerry Nockles,Jerry Nockles,Liberal,House,0
NSW,Eden-Monaro,7,HARRIS,Vivian,M,Vivian Harris,Vivian Harris,The Greens,House,0
NSW,Eden-Monaro,8,McLENNAN,Toni,M,Toni Mclennan,Toni Mclennan,Informed Medical Options Party,House,0
NSW,Eden-Monaro,9,THALER,Andrew,M,Andrew Thaler,Andrew Thaler,Independent,House,0
NSW,Eden-Monaro,10,SHANNON,Boyd,M,Boyd Shannon,Boyd Shannon,Pauline Hanson's One Nation,House,0
NSW,Farrer,1,DAVERN,Eli,M,Eli Davern,Eli Davern,The Greens,House,0
NSW,Farrer,2,LEY,Sussan,F,Sussan Ley,Sussan Ley,Liberal,House,1
NSW,Farrer,3,DUNCAN-STRELEC,Amanda,F,Amanda Duncan-Strelec,Amanda Duncan-Strelec,Independent,House,0
NSW,Farrer,4,BRITTON,Paul,M,Paul Britton,Paul Britton,"Shooters, Fishers and Farmers Party",House,0
NSW,Farrer,5,ROWORTH,Ian Christopher,M,Ian Christopher Roworth,Ian Christopher Roworth,Liberal Democrats,House,0
NSW,Farrer,6,FRANCIS,Richard,M,Richard Francis,Richard Francis,Pauline Hanson's One Nation,House,0
NSW,Farrer,7,RAMOS,Julie,F,Julie Ramos,Julie Ramos,United Australia Party,House,0
NSW,Farrer,8,CAMERON,Darren Michael,M,Darren Michael Cameron,Darren Michael Cameron,Labor,House,0
NSW,Fowler,1,KENEALLY,Kristina,F,Kristina Keneally,Kristina Keneally,Labor,House,0
NSW,Fowler,2,PANICH,Lela Lepa,F,Lela Lepa Panich,Lela Lepa Panich,United Australia Party,House,0
NSW,Fowler,3,RUNGE,Peter Ronald,M,Peter Ronald Runge,Peter Ronald Runge,Liberal Democrats,House,0
NSW,Fowler,4,LE,Dai,F,Dai Le,Dai Le,Independent,House,0
NSW,Fowler,5,NGUYEN,Courtney,F,Courtney Nguyen,Courtney Nguyen,Liberal,House,0
NSW,Fowler,6,MARGOS,Tony,M,Tony Margos,Tony Margos,Pauline Hanson's One Nation,House,0
NSW,Fowler,7,HOWARD,Avery,NB,Avery Howard,Avery Howard,The Greens,House,0
NSW,Gilmore,1,CONSTANCE,Andrew,M,Andrew Constance,Andrew Constance,Liberal,House,0
NSW,Gilmore,2,DIGIGLIO,Nina,F,Nina Digiglio,Nina Digiglio,Independent,House,0
NSW,Gilmore,3,McCALLUM,Carmel,F,Carmel Mccallum,Carmel Mccallum,The Greens,House,0
NSW,Gilmore,4,MALONEY,Jordan Lindsay,M,Jordan Lindsay Maloney,Jordan Lindsay Maloney,United Australia Party,House,0
NSW,Gilmore,5,EID,Jerremy,M,Jerremy Eid,Jerremy Eid,Pauline Hanson's One Nation,House,0
NSW,Gilmore,6,FADINI,Adrian,M,Adrian Fadini,Adrian Fadini,Liberal Democrats,House,0
NSW,Gilmore,7,PHILLIPS,Fiona,F,Fiona Phillips,Fiona Phillips,Labor,House,1
NSW,Grayndler,1,SMITH,David Bruce,M,David Bruce Smith,David Bruce Smith,United Australia Party,House,0
NSW,Grayndler,2,ALBANESE,Anthony,M,Anthony Albanese,Anthony Albanese,Labor,House,1
NSW,Grayndler,3,ZHANG,Ben,M,Ben Zhang,Ben Zhang,Liberal,House,0
NSW,Grayndler,4,HAGGERTY,James,M,James Haggerty,James Haggerty,"FUSION: Science, Pirate, Secular, Climate Emergency",House,0
NSW,Grayndler,5,KILHAM,Sarina,F,Sarina Kilham,Sarina Kilham,Independent,House,0
NSW,Grayndler,6,HENSELIN,Paul,M,Paul Henselin,Paul Henselin,Pauline Hanson's One Nation,House,0
NSW,Grayndler,7,DELLO-IACOVO,Michael Armando,M,Michael Armando Dello-Iacovo,Michael Armando Dello-Iacovo,Animal Justice Party,House,0
NSW,Grayndler,8,JACOBS,Rachael,F,Rachael Jacobs,Rachael Jacobs,The Greens,House,0
NSW,Greenway,1,REX,Mark Andrew,M,Mark Andrew Rex,Mark Andrew Rex,United Australia Party,House,0
NSW,Greenway,2,ROWLAND,Michelle,F,Michelle Rowland,Michelle Rowland,Labor,House,1
NSW,Greenway,3,KACHWALLA,Adam,M,Adam Kachwalla,Adam Kachwalla,Liberal Democrats,House,0
